正面,背面,标签
公文的文种共有几种？分别是什么？,"15种：决议、决定、命令(令)、公报、公告、通告、意见、通知、通报、报告、请示、批复、议案、函、纪要",公文_文种
【决议】适用于？,"会议讨论通过的重大决策事项",公文_文种
【决定】适用于？,"对重要事项作出决策和部署、奖惩有关单位和人员、变更或撤销下级机关不适当的决定事项",公文_文种
【命令(令)】适用于？,"公布行政法规和规章、宣布施行重大强制性措施、批准授予和晋升衔级、嘉奖有关单位和人员",公文_文种
【公报】vs【公告】区别？,"公报：公布重要决定或重大事项；公告：向国内外宣布重要事项或法定事项（范围更广，含向国外）",公文_文种
【公告】vs【通告】区别？,"公告：向国内外宣布重要事项或法定事项；通告：在一定范围内公布应当遵守或周知的事项（范围较小）",公文_文种
【通知】适用于？,"发布、传达要求下级机关执行和有关单位周知或者执行的事项，批转、转发公文",公文_文种
【通报】适用于？,"表彰先进、批评错误、传达重要精神和告知重要情况",公文_文种
【通知】vs【通报】区别？,"通知：部署工作、传达执行；通报：表彰/批评/传达精神情况（不用于部署工作）",公文_文种
【报告】适用于？,"向上级机关汇报工作、反映情况，回复上级机关的询问（事后，不需要批准）",公文_文种
【请示】适用于？,"向上级机关请求指示、批准（事前，需要批准）",公文_文种
【报告】vs【请示】核心区别？,"报告：事后汇报，不需要回复；请示：事前请求，必须回复批准。请示不得夹在报告中",公文_文种
【批复】适用于？,"答复下级机关请示事项（与请示对应，上级回复下级）",公文_文种
【函】适用于？,"不相隶属机关之间商洽工作、询问和答复问题、请求批准和答复审批事项（平行机关用）",公文_文种
【议案】适用于？,"各级人民政府按照法律程序向同级人大或人大常委会提请审议事项",公文_文种
【纪要】适用于？,"记载会议主要情况和议定事项",公文_文种
发文字号由哪三部分组成？格式要求？,"发文机关代字＋年份＋发文顺序号。年份用六角括号〔〕，如：豫政〔2026〕1号。不加"第"字，不用0补位",公文_格式
公文标题由哪三部分组成？,"发文机关名称＋事由＋文种，如：XX市人民政府关于XX的通知",公文_格式
签发人标注要求？,"上行文（报告/请示）应当标注签发人姓名；下行文不需要",公文_格式
主送机关的书写要求？,"使用机关全称、规范化简称或同类型机关统称。公告、通告一般不写主送机关",公文_格式
附件说明的位置和格式？,"正文下空一行，左空二字编排"附件："，后标全角冒号和附件名称。附件名称后不加标点",公文_格式
发文机关署名位置？,"成文日期之上，以成文日期为准居中编排",公文_格式
成文日期格式要求？,"署会议通过或发文机关负责人签发的日期，用阿拉伯数字（如2026年5月18日）",公文_格式
印章与署名的关系？,"公文中有发文机关署名的，应当加盖发文机关印章，并与署名机关相符",公文_格式
公文用纸规格？,"国际标准A4型",公文_格式
公文结尾用语：公告用？通知用？函用？报告用？请示用？,"公告→特此公告；通知→特此通知；函→特此函告/函复；报告→以上报告请审阅；请示→以上请示请批示",公文_格式
行文一般不得（）行文，特殊情况需要时应当同时（）,"不得越级行文；特殊情况越级行文时，应当同时抄送被越过的机关",公文_行文规则
向上级机关行文，原则上主送（）个上级机关？,"原则上主送一个上级机关，根据需要同时抄送相关上级机关和同级机关，不抄送下级机关",公文_行文规则
请示的核心规则（3条）,"①请示应当一文一事；②不得在报告等非请示性公文中夹带请示事项；③不得以本机关名义向上级机关负责人直接报送",公文_行文规则
联合行文的规则？,"同级党政机关、党政机关与其他同级机关必要时可以联合行文。属于党委、政府各自职权范围内的工作，不得联合行文",公文_行文规则
部门内设机构能否对外正式行文？,"除办公厅（室）外，部门内设机构不得对外正式行文",公文_行文规则
涉及多个部门职权范围的事务，部门间未协商一致时能否行文？,"不得向下行文；擅自行文的，上级机关应当责令其纠正或者撤销",公文_行文规则
收文办理的主要程序（7步）顺序？,"签收→登记→初审→承办→传阅→催办→答复",公文_处理程序
发文办理的主要程序（4步）顺序？,"复核→登记→印制→核发",公文_处理程序
公文拟制包括哪三个程序？,"起草、审核、签发",公文_处理程序
公文被撤销 vs 废止，效力区别？,"撤销：视为自始无效（从来就没效）；废止：视为自废止之日起失效（之前有效）",公文_处理程序
绝密级公文能否复制汇编？,"一般不得复制、汇编，确有工作需要的，应当经发文机关或其上级机关批准",公文_处理程序
【2025真题改错①】K市补贴公告：实施时间错在哪？,"只写了开始时间2025年5月20日，未写截止时间。应改为：2025年5月20日起至2025年12月31日止",公文_真题改错
【2025真题改错②】"销售价格不超过6000元"错在哪？,"表述不够精确，应改为：单件销售价格不超过6000元",公文_真题改错
【2025真题改错③】"特此通知"用在公告里错在哪？,"公告结尾应用"特此公告"，不能用"特此通知"。且"特此公告"应位于附件说明之上，左空二字编排",公文_真题改错
【2025真题改错④】附件说明连排错在哪？,"附件说明与正文连排，应改为：在正文下空一行，左空二字编排"附件："，后标全角冒号和附件名称",公文_真题改错
【2025真题改错⑤】缺少什么要素？,"缺少发文机关署名。应在成文日期之上、以成文日期为准居中编排发文机关署名（如：K市人民政府）",公文_真题改错
公文改错答题步骤？,"①先看文种（确认是公告/通知/报告）→②逐项检查：标题→主送→正文→结尾用语→附件→署名→日期",公文_改错方法
河南事业编公文考查主要形式是？,"客观题（单选/多选/判断）每年必考；主观题（改错/病文评改/写作）选择性出现，2025年考了改错大题",公文_规律
