正面,背面,标签
"2026年1月1日《求是》第1期发表习近平重要文章，题目是？","《学习好贯彻好党的二十届四中全会精神》","时政-1月-求是"
"《学习好贯彻好党的二十届四中全会精神》提出，贯彻落实全会精神要着重把握几点？列举第一点。","第一，坚定不移推动高质量发展。推动高质量发展是《建议》确定的"十五五"时期经济社会发展的主题。","时政-1月-求是"
"《十五五》规划的指导思想原则称为（）原则（几个坚持）","六个坚持","时政-1月-求是"
"加快构建新发展格局，要坚持（ ）这个战略基点，加快构建（ ）大市场","扩大内需；全国统一","时政-1月-求是"
"中央八项规定学习教育成果要巩固拓展，还要持续深化拓展整治（ ）为基层减负工作","形式主义","时政-1月-求是"
"我国海上最大气田是？2025年年产油气量突破多少？","深海一号；450万吨油当量","时政-1月-科技"
"C919国产大飞机首次实现双基地运行，连接哪两个城市？","广州—长沙（湖南南方航空）","时政-1月-科技"
"中国"人造太阳"全称及其找到了什么突破？","全超导托卡马克核聚变实验装置（EAST）；找到突破密度极限的方法","时政-1月-科技"
"西北电网2025年跨区外送电量首次突破多少亿千瓦时？较2024年增长多少？","4000亿千瓦时（实际4110亿）；增长16.4%","时政-1月-科技"
"中国首部专门的古籍保护利用地方性法规是？何时施行？","《四川省古籍保护利用条例》；2026年1月1日起施行","时政-1月-文化"
"长江干线港口货物吞吐量稳居世界内河第几？十年增长多少？达多少亿吨？","第一；增长71%；达42亿吨","时政-1月-经济"
"2025年全年纯电动汽车销量全球第一的品牌是？超越了谁？","比亚迪；超越特斯拉（首次）","时政-1月-科技"
"长庆油田连续几年产气突破500亿立方米？占国内总产量约多少？","连续四年；约五分之一","时政-1月-科技"
"解放军报2026年创刊多少周年？习近平贺信中要求报社把握哪两个方向？","70周年；正确政治方向和舆论导向","时政-1月-时政"
"2026年1月，首艘（ ）型航母正式入列","电磁弹射","时政-1月-军事"
"长江江豚拯救行动计划时间跨度？部署了几大行动？","2026-2035年；十大行动","时政-1月-生态"
"中国首次航天员洞穴训练在哪里完成？参与人数及时长？","重庆市武隆区；28名航天员分4批完成6天5夜训练","时政-1月-航天"
"绿色产品认证新规立足"四统一"原则，列举其中两个","统一产品目录、统一评价标准、统一认证规则、统一产品标识（答两个即可）","时政-1月-政策"
"2026年1月，我国地理信息产业总产值预计超多少亿元？","超过9000亿元","时政-1月-数字"
"韩国总统李在明1月访华，此次访问是他就任后（ ）","首次访华","时政-1月-外交"
